country_name,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Afghanistan,0.02089854567449104,0.07835130132649576,0.0856453350085854,-0.07192592307418325,0.42425064268937274,-0.0862932315068421,0.20397114950795797,-0.026326335449952616,-0.13887717341097067,0.0004717802833094879
Albania,0.19815390181920414,0.05220097192461375,-0.040496181286654075,-0.03495924035443867,0.1135826119563092,0.23006459832024254,-0.1122967696455033,-0.061865389750617596,-0.11066029713136445,-0.047358318225042814
Algeria,0.3089046225292131,0.13722020768824716,-0.08966060851762574,-0.09435787654759223,0.170449383739433,0.18304241361398788,-0.03724466088792728,0.030340548733505814,0.01271900744007939,-0.0039381178005594535
Andorra,0.0885214368466041,-0.0010495832558436958,0.009308311727204041,-0.023713567479972608,0.009206941155166676,0.05609092248887587,-0.03465558809573079,0.05115820154734175,-0.05377375659445838,-0.056407707424321545
Angola,0.24896390679096894,-0.005649254072591056,-0.0515913681623618,-0.06557427850877041,0.24428457382963098,0.2643405621136846,0.06310994766915047,0.1412505106279938,-0.08368070727096703,0.004376205727901706
Antigua and Barbuda,-0.3074465980337634,0.18135918651985194,-0.02812891685859388,-0.40570724743229275,0.14286341974059213,0.009309641606023447,-0.033429831920791374,-0.016832914822352007,-0.08059298344191859,0.04634888809447297
Argentina,0.29376250815985233,-0.1468012034806931,0.4731744278626082,-0.3216687499290094,-0.07995727745387475,0.15123316044750737,0.11938961395109043,-0.3020872146708268,-0.05864893849340749,-0.0065365615538945385
Armenia,0.16314791986420557,0.03294903226154495,-0.048613753881896725,-0.024252384105022746,0.11245948864866277,0.11634198658820212,-0.08717731144612356,0.0066015607939569525,-0.03756619699347398,0.021294792159180675
Australia,-0.13928655518657823,0.15437671781937254,0.03043209506543479,-0.18371333712747084,0.11105221848845695,-0.0017906337521144638,0.022306643371718844,-0.09557641396864988,0.0956473947555505,0.018738808769549822
Austria,0.010520117675984977,-0.04449792188898888,-0.008386360697764796,0.03350630164335039,0.008317185250543447,-0.07781246443591802,-0.028850618386528065,-0.020485202800913697,-0.00693474047123043,-0.16625676945129098
Azerbaijan,0.11120063573989264,-0.025061603031954448,-0.09103847612666124,0.09916218139415876,0.024054706421238668,-0.06120255301663496,-0.006048863057723888,-0.12160456312136277,-0.12062026051392118,0.6742126188015974
Bahamas (The),-0.1307588159606139,0.09792646118016958,-0.0035109732739048295,-0.18544616092537491,0.15078276757992437,-0.06223842731887172,0.024220849286095653,-0.09036260914737097,0.018833505058206138,-0.00874508506158185
Bahrain,0.11974963690243998,0.41733368003076915,0.34570064359556807,0.19898637024042373,-0.11923257657752859,0.23643516159266578,-0.2485882763734978,-0.27439240746803434,-0.297553076926605,-0.05365283490414905
Bangladesh,-0.03119751393485146,0.022460337935818423,-0.056288968467395055,-0.029315563929246384,0.010602601846158199,0.09894428342349997,0.09845632235953572,-0.08358183819047167,0.18163648271838764,-0.03636713992382484
Barbados,-0.2612025267756507,0.11734161827406529,-0.041362087123395244,-0.3284120944733038,0.05003779014907716,0.02379594497180693,-0.031013433115959194,0.011665460271558126,-0.10152887192645081,0.028788080255959858
Belarus,0.2174707763183827,0.19139751926778256,-0.052214738585801654,-0.12865378160778818,0.546717115085286,0.07753255828550498,-0.11693143149832091,-0.10035130127836943,-0.006806191100622768,0.09428610331408475
Belgium,-0.012172009158335172,0.40721075209829977,0.29680151292840745,0.009477894223265818,0.20356506678906713,0.07068195124645403,0.15496158469242516,-0.035401833207034585,0.06434129841586698,-0.023346774103900538
Belize,-0.22691950896130925,0.11613899558692829,-0.011970439945312952,-0.3053705439845958,0.085889230160502,-0.0250589029977858,-0.03579281530144574,0.006221175359109201,-0.11878785059057693,0.038121948917580396
Benin,0.3610774398499438,0.16626194802424688,-0.13020343394462502,-0.1501906935144212,0.0817774281410371,0.01840578154787095,0.027108443316372837,0.14209228460371515,-0.010027627072360287,0.04203515809032395
Bhutan,-0.08784942341248864,0.1935813009877834,0.11170976655560196,0.017893269981213315,0.06885328892424765,0.16733031032089207,0.07311145999402711,0.07638968382630279,0.10387876378319943,-0.007065773834559731
Bolivia (Plurinational State of),0.12203595435523472,-0.05150132192030028,0.041939986906292144,-0.03616715536717319,0.039382100266670994,0.08816827644259201,-0.0043295576659296165,0.07998891356241691,-0.14790422430985237,-0.08320935639634512
Bosnia and Herzegovina,0.033235047659116,-0.018106993525948436,0.029778694640081607,-0.014626864796633103,0.12937133291713526,-0.09224813217686655,-0.018564318610389895,-0.03582571277118139,-0.1140646135057689,-0.14921807562015094
Botswana,-0.29885848146366856,0.09227484580464528,-0.08992634720286496,-0.3440189206389979,-0.062251702478251125,0.17946161038502922,-0.04379562016604545,0.06962153486484829,-0.04470288874966805,0.02362275014779754
Brazil,0.15787322616234747,-0.0969456195105104,0.1617905540266278,-0.1573226427192971,0.02878870214159787,0.043874209656693475,-0.005443351866126273,0.00637864526367411,-0.026147787719204247,-0.10307636769811032
Brunei Darussalam,-0.0430807938618385,-0.03281923955744871,-0.019506902466322605,0.06167643803376627,-0.07002122499280712,-0.16505962512172592,0.017464936538930713,-0.09405177994510507,0.011664845312586648,-0.0025097112276940034
Bulgaria,0.10266062276491347,-0.003808302177428756,-0.02568540360305337,0.0067002974248265845,0.0703635600929047,0.11864648438655186,-0.060007148478252954,-0.000903232601489031,-0.021647338103513544,-0.03314148630352127
Burkina Faso,0.3360224280831241,0.2291273226310133,-0.12183209906823302,-0.17334578711302978,-0.14101644136369315,-0.14434162315200655,0.12492770008683454,0.16433851630656637,-0.06435848708313167,-0.06606077613022182
Burundi,0.4021591294916427,0.32893375063540153,-0.0017503743079210533,-0.3102423829439165,0.0801570685839144,-0.01477944016452976,0.07519314801549191,-0.09930646019638105,0.08337218183592471,0.0648981341032753
Cambodia,0.016531385484394975,0.57018537451717,0.524342624046267,0.10270553335552654,0.03576989868079755,0.09892477898494699,0.061354478801335904,0.04437924711760876,0.02993654148566574,0.05584122488375788
Cameroon,0.20921771028828587,0.18789669225825864,0.03751416405760873,-0.19703323414334573,0.13891657647049088,0.041313892498821454,0.02687854242311726,-0.10715054450085455,0.19443877726093958,0.06579272748006514
Canada,-0.06526989841227933,0.0269905219460537,0.021804449663095485,-0.08605956720632733,0.014706744841115978,0.03696057128753372,0.17113885291732528,-0.10451035054251397,-0.016991173148475973,-0.013435794778410401
Cape Verde,0.20436636297033364,0.020894296663726757,-0.044407425171539804,-0.058124995195965985,0.11114416635686855,0.1130462316544528,-0.013737751812357837,0.12857916615263307,-0.07425079957523584,0.01134860775550297
Central African Republic,0.4651856359162289,0.4073968479211314,-0.10104566598857631,-0.30670822821898924,-0.07114515879240922,-0.08192414894678703,0.09174261288645012,-0.015727114688031535,0.06359209707193862,0.0077966557033048904
Chad,0.45866961175353366,0.2997597775735619,-0.17629299722726205,-0.22373011210542318,-0.14128333503595703,-0.12684371171693162,0.1800402107013201,0.19507955144443456,-0.07791978870929235,-0.02276503135050293
Chile,0.26283905468427854,-0.036128165318277,0.2508179677922802,-0.3158126971447384,0.1816436284176964,0.08034275814747699,0.059323214281460944,0.02503224713725299,-0.04948156265881682,-0.00796789236198567
China (Peopl,0.10617379980355945,-0.16316147749118218,0.20349837543509589,-0.10848027909999569,-0.010683704625155978,0.008067346046261538,0.04660900922424347,0.025496704090195308,0.03618310432684327,0.041909090849663204
