country_name,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
Bolivia (Plurinational State of),3.1449507815259236e-06,3.1449507815258783e-06,3.1449507815224237e-06,3.14495078152652e-06,3.1449507815255696e-06,3.1449507815262447e-06,3.1449507815264115e-06,3.1449507815257877e-06,0.012578493781294952,3.1449507815247264e-06,3.1449507815258843e-06,0.4377427624396113,3.144950781527304e-06,3.144950781525872e-06,3.1449507815265737e-06,3.1449507815260554e-06,3.144950781525904e-06,3.1449507815260977e-06,3.144950781527034e-06,3.1449507815224237e-06,3.144950781525849e-06,3.1449507815261612e-06,3.14495078152655e-06,3.1449507815252833e-06,3.1449507815263662e-06,3.1449507815258525e-06,0.5495938301079926,3.14495078152628e-06,3.1449507815269752e-06,3.1449507815265763e-06
Bosnia and Herzegovina,2.3020257826919367e-05,2.3020257826916077e-05,2.3020257826895074e-05,2.302025782692309e-05,2.3020257826922575e-05,2.3020257826925103e-05,2.302025782692277e-05,2.3020257826918506e-05,2.3020257826924805e-05,2.3020257826921234e-05,0.9993324125230195,2.302025782692684e-05,2.3020257826922423e-05,2.30202578269207e-05,2.3020257826915518e-05,2.3020257826936487e-05,2.302025782692094e-05,2.302025782692224e-05,2.3020257826927302e-05,2.3020257826895074e-05,2.30202578269227e-05,2.3020257826922165e-05,2.3020257826922877e-05,2.3020257826914146e-05,2.3020257826923097e-05,2.3020257826924747e-05,2.302025782692372e-05,2.3020257826924883e-05,2.3020257826922836e-05,2.302025782692567e-05
Botswana,3.462124359513774e-06,3.462124359512969e-06,3.4621243595093194e-06,3.4621243595137986e-06,0.39285373266940116,3.4621243595140306e-06,3.4621243595142394e-06,3.4621243595131065e-06,3.462124359514196e-06,3.462124359512605e-06,3.4621243595127715e-06,3.4621243595134686e-06,3.4621243595139608e-06,3.4621243595147167e-06,3.462124359515913e-06,3.462124359513993e-06,0.00469453736668269,3.4621243595146685e-06,3.4621243595143995e-06,3.4621243595093194e-06,3.4621243595128177e-06,0.601820976081624,3.462124359514845e-06,3.4621243595125526e-06,3.4621243595130887e-06,3.462124359514163e-06,3.4621243595136507e-06,3.4621243595144766e-06,0.0005407386489450624,3.4621243595133263e-06
Brazil,1.6089845698409028e-06,1.6089845698407746e-06,1.6089845698388652e-06,1.6089845698412024e-06,1.6089845698407306e-06,1.6089845698409364e-06,1.6089845698409635e-06,1.6089845698406393e-06,0.9999533394474748,1.608984569840086e-06,1.6089845698408267e-06,1.6089845698413284e-06,1.6089845698412621e-06,1.6089845698408113e-06,1.608984569840958e-06,1.6089845698410525e-06,1.6089845698408032e-06,1.6089845698408983e-06,1.608984569841322e-06,1.6089845698388652e-06,1.6089845698407594e-06,1.60898456984091e-06,1.6089845698409034e-06,1.6089845698404672e-06,1.6089845698410916e-06,1.6089845698407412e-06,1.6089845698414262e-06,1.608984569841052e-06,1.608984569840984e-06,1.6089845698411632e-06
Brunei Darussalam,5.840780328260997e-06,5.84078032825909e-06,5.840780328254513e-06,5.840780328260396e-06,5.840780328262756e-06,5.840780328262381e-06,5.840780328261144e-06,0.9998306173704798,5.840780328260723e-06,5.840780328259194e-06,5.840780328258898e-06,5.840780328260171e-06,5.840780328260477e-06,5.840780328262529e-06,5.840780328259313e-06,5.840780328260888e-06,5.840780328262637e-06,5.8407803282621e-06,5.8407803282612096e-06,5.840780328254513e-06,5.840780328262069e-06,5.840780328262889e-06,5.840780328261763e-06,5.840780328257615e-06,5.840780328261647e-06,5.840780328258965e-06,5.840780328260679e-06,5.840780328262496e-06,5.840780328262284e-06,5.840780328261552e-06
Bulgaria,1.001301692201968e-05,1.001301692201923e-05,1.0013016922005845e-05,0.850346101036827,1.0013016922018298e-05,1.0013016922021483e-05,0.020679430989117436,1.0013016922018424e-05,1.0013016922020573e-05,1.0013016922014089e-05,1.0013016922017199e-05,1.0013016922022157e-05,1.001301692202227e-05,1.0013016922019035e-05,1.0013016922020748e-05,1.0013016922020275e-05,1.0013016922019283e-05,1.0013016922020541e-05,1.0013016922022117e-05,1.0013016922005845e-05,1.0013016922020352e-05,1.001301692202127e-05,1.0013016922019518e-05,1.0013016922018349e-05,0.009833631066071716,1.001301692201766e-05,0.0671878871157678,1.0013016922021537e-05,1.0013016922019122e-05,0.05170262436916578
Burkina Faso,8.52514919012617e-06,8.525149190124993e-06,8.525149190115938e-06,8.525149190126855e-06,8.525149190125344e-06,8.525149190125972e-06,8.525149190125174e-06,8.525149190148386e-06,8.525149190130094e-06,8.525149190122655e-06,8.52514919015813e-06,8.525149190126779e-06,0.999752770673486,8.525149190126206e-06,8.525149190123765e-06,8.525149190130802e-06,8.525149190125545e-06,8.525149190127036e-06,8.525149190127438e-06,8.525149190115938e-06,8.52514919012559e-06,8.525149190126962e-06,8.525149190125833e-06,8.525149190123526e-06,8.52514919013222e-06,8.525149190124478e-06,8.525149190126672e-06,8.525149190127461e-06,8.52514919012552e-06,8.52514919055157e-06
Burundi,6.193484454367116e-06,6.193484454367291e-06,6.19348445435876e-06,0.018311738661608814,6.193484454367027e-06,6.193484454367876e-06,6.193484454368468e-06,6.193484454365883e-06,6.193484454367944e-06,6.193484454363579e-06,6.193484454366869e-06,0.03694741791257621,0.9445736193455463,6.193484454367586e-06,6.19348445436726e-06,6.193484454368477e-06,6.193484454368153e-06,6.193484454367561e-06,6.193484454368376e-06,6.19348445435876e-06,6.193484454366944e-06,6.1934844543689614e-06,6.193484454368694e-06,6.193484454364887e-06,6.193484454367447e-06,6.193484454366516e-06,6.193484454368811e-06,6.193484454368546e-06,6.1934844543694815e-06,6.193484454367991e-06
Cambodia,1.0345541071817877e-05,1.034554107181844e-05,1.0345541071805688e-05,0.17828315983495102,1.0345541071817193e-05,1.034554107182396e-05,1.0345541071818407e-05,1.0345541071819161e-05,1.0345541071819774e-05,0.05891807959949909,1.034554107181742e-05,0.1882016058425656,0.32419502151742435,1.034554107181824e-05,1.034554107181917e-05,0.14080929712720153,1.0345541071818448e-05,1.0345541071817843e-05,0.003960778143124405,1.0345541071805688e-05,0.000851329266813442,1.0345541071818162e-05,1.0345541071818216e-05,1.0345541071816856e-05,1.0345541071820296e-05,1.0345541071817906e-05,1.0345541071821248e-05,1.0345541071818372e-05,1.0345541071817223e-05,0.10455312676484077
Cameroon,1.8047283883817985e-05,1.8047283883811354e-05,1.8047283883790375e-05,0.29051340389121294,1.804728388381778e-05,1.8047283883815874e-05,1.8047283883815806e-05,0.0022547685562180064,1.804728388381326e-05,1.804728388381206e-05,1.8047283883812164e-05,1.8047283883818476e-05,0.48705454899928213,1.8047283883817294e-05,1.8047283883820438e-05,0.004115237388496807,1.8047283883819814e-05,1.8047283883817734e-05,0.17269952252233947,1.8047283883790375e-05,1.8047283883815257e-05,1.8047283883819838e-05,1.8047283883813394e-05,1.8047283883809653e-05,1.804728388381937e-05,0.00814056028548455,1.8047283883814133e-05,0.03480687082763853,1.8047283883810616e-05,1.8047283883819235e-05
Canada,6.033182503784301e-06,6.033182503785224e-06,6.033182503776356e-06,6.033182503786207e-06,0.017174601492334195,0.002485005424750953,6.03318250378332e-06,6.033182503791298e-06,0.016942971882890318,6.033182503786373e-06,6.033182503786012e-06,0.006047269629467275,0.007375864166123596,6.033182503785023e-06,6.0331825037847115e-06,0.07463599766491388,6.03318250378486e-06,0.4467032483639884,6.033182503786321e-06,6.033182503776356e-06,6.033182503783956e-06,6.033182503784851e-06,6.033182503784515e-06,6.0331825037841906e-06,6.03318250378444e-06,6.033182503783429e-06,6.033182503785808e-06,0.428502311360448,6.033182503784464e-06,6.033182503784755e-06
Cape Verde,4.380201489278474e-06,4.3802014892778275e-06,4.380201489272005e-06,0.25599148428582147,4.380201489277821e-06,4.380201489278543e-06,4.380201489278759e-06,4.380201489277071e-06,4.380201489278506e-06,4.3802014892753795e-06,4.3802014892778546e-06,4.38020148927886e-06,0.3582365322388019,4.380201489278394e-06,4.3802014892779825e-06,4.3802014892776665e-06,4.3802014892782704e-06,4.380201489278857e-06,0.020958074946025473,4.380201489272005e-06,4.380201489278247e-06,4.380201489278804e-06,4.380201489278259e-06,4.380201489276329e-06,4.380201489278037e-06,4.380201489276337e-06,0.33071905271326363,4.380201489278481e-06,4.380201489278547e-06,0.03398535077885534
Central African Republic,6.942997986542174e-06,6.9429979865418965e-06,6.942997986533943e-06,6.942997986900274e-06,6.942997986541811e-06,6.9429979865416915e-06,6.942997986543341e-06,6.942997986540959e-06,6.942997986542472e-06,6.942997986539522e-06,6.942997986540906e-06,6.9429979865426326e-06,0.9997986530583893,6.9429979865418245e-06,6.942997986541141e-06,6.942997986543208e-06,6.9429979865425385e-06,6.9429979865418414e-06,6.942997986543307e-06,6.942997986533943e-06,6.94299798654158e-06,6.942997986542736e-06,6.94299798654169e-06,6.942997986540739e-06,6.9429979865429155e-06,6.942997986541885e-06,6.942997986542778e-06,6.942997986542494e-06,6.942997986541377e-06,6.942997986542781e-06
Chad,8.281573498979344e-06,8.281573498980734e-06,8.281573498969726e-06,8.281573498982129e-06,8.28157349897927e-06,8.281573498980641e-06,8.281573498980714e-06,8.281573498977653e-06,8.281573498981795e-06,8.28157349897602e-06,8.281573498978818e-06,8.281573498982923e-06,0.9997598343685298,8.281573498979643e-06,8.281573498979062e-06,8.28157349897994e-06,8.28157349897986e-06,8.281573498979733e-06,8.281573498982185e-06,8.281573498969726e-06,8.28157349897953e-06,8.281573498980533e-06,8.28157349898077e-06,8.28157349897797e-06,8.28157349897944e-06,8.28157349897772e-06,8.281573498988442e-06,8.281573498981112e-06,8.281573498981302e-06,8.28157349898146e-06
Chile,2.3733238400427594e-06,2.373323840042881e-06,2.373323840039602e-06,2.3733238400432934e-06,2.3733238400431016e-06,2.3733238400428127e-06,0.007559818762269454,2.3733238400421165e-06,2.3733238400435475e-06,2.373323840041098e-06,2.3733238400425133e-06,2.3733238400433942e-06,0.0489782483091542,2.373323840043123e-06,2.3733238400424273e-06,2.3733238400430474e-06,2.3733238400428885e-06,2.373323840043034e-06,0.9021182409209343,2.373323840039602e-06,2.3733238400422833e-06,2.373323840043328e-06,2.3733238400432735e-06,2.3733238400420686e-06,2.373323840042783e-06,2.373323840042128e-06,0.04128198558780099,2.3733238400429525e-06,2.373323840043473e-06,2.3733238400429593e-06
China (Peopl,7.5414781297242745e-06,7.5414781297270485e-06,7.541478129716805e-06,7.541478129728978e-06,7.541478129723777e-06,7.541478129723443e-06,7.541478129723844e-06,7.541478129722471e-06,7.541478129726228e-06,7.541478129721394e-06,7.5414781297233825e-06,0.9997812971342372,7.541478129726177e-06,7.5414781297241915e-06,7.541478129725654e-06,7.541478129724111e-06,7.541478129723662e-06,7.541478129726165e-06,7.541478129725374e-06,7.541478129716805e-06,7.541478129724631e-06,7.541478129723697e-06,7.5414781297241855e-06,7.541478129726412e-06,7.541478129726046e-06,7.541478129724342e-06,7.5414781297258084e-06,7.5414781297237595e-06,7.541478129725615e-06,7.541478129725621e-06
Colombia,1.8775111711958562e-06,1.8775111711953002e-06,1.8775111711930085e-06,1.8775111711959763e-06,1.8775111711959672e-06,1.877511171196073e-06,1.8775111711957362e-06,1.87751117119561e-06,1.8775111711959865e-06,1.8775111711947267e-06,1.8775111711953355e-06,1.8775111711959789e-06,0.0004615163633368435,1.8775111711959395e-06,1.877511171195259e-06,0.015883481239711526,0.000494406978359172,1.8775111711960453e-06,0.21909558734446996,1.8775111711930085e-06,1.8775111711954569e-06,0.0016453599324221541,1.8775111711960674e-06,1.877511171195055e-06,1.877511171197116e-06,1.8775111711954404e-06,0.7501855215442846,0.006187397762846057,0.006005423588803408,1.8775111711958848e-06
Comoros,1.4988009592356506e-05,1.4988009592355586e-05,1.498800959233598e-05,1.4988009592358259e-05,1.4988009592359848e-05,1.4988009592360478e-05,1.498800959236073e-05,1.4988009592352684e-05,0.029153594077873848,1.4988009592343336e-05,1.49880095923549e-05,0.008157919677321324,0.9099557866994953,1.4988009592356895e-05,0.05234301129590843,1.4988009592355011e-05,1.4988009592354578e-05,1.4988009592354003e-05,1.4988009592359358e-05,1.498800959233598e-05,1.4988009592357495e-05,1.4988009592355233e-05,1.498800959235636e-05,1.4988009592352047e-05,1.4988009592354747e-05,1.4988009592352487e-05,1.4988009592361012e-05,1.498800959235855e-05,1.4988009592358706e-05,1.4988009592367498e-05
Congo (Democratic Republic of the),4.863340142018652e-06,4.86334014201899e-06,4.863340142013099e-06,4.863340142020291e-06,4.863340142019286e-06,4.8633401420191385e-06,4.863340142019519e-06,4.863340142018447e-06,4.8633401420214865e-06,4.8633401420166686e-06,4.863340142018513e-06,4.863340142020769e-06,0.9322201746971481,4.863340142019267e-06,4.863340142018716e-06,4.8633401420195154e-06,4.863340142019367e-06,4.8633401420194155e-06,4.863340142020822e-06,4.863340142013099e-06,4.863340142018606e-06,4.863340142019817e-06,4.86334014201991e-06,4.863340142017656e-06,4.863340142020925e-06,4.863340142018235e-06,0.031124660428445052,0.036523854690572094,4.863340142020125e-06,4.863340142021279e-06
Congo (Republic of the),7.382798080483629e-06,7.382798080484665e-06,7.3827980804761245e-06,7.382798080485956e-06,7.382798080483499e-06,7.382798080485415e-06,7.382798080484518e-06,7.382798080483765e-06,7.382798080486449e-06,7.3827980804821325e-06,7.382798080482548e-06,7.3827980804849125e-06,0.9997858988556653,7.3827980804844026e-06,7.382798080483154e-06,7.38279808048389e-06,7.382798080484784e-06,7.382798080484994e-06,7.382798080485864e-06,7.3827980804761245e-06,7.3827980804835615e-06,7.382798080484886e-06,7.382798080485988e-06,7.38279808048307e-06,7.382798080485707e-06,7.382798080482897e-06,7.382798080485704e-06,7.382798080485843e-06,7.3827980804862e-06,7.382798080485203e-06
