term_str,n,p,stop,n_pos,max_pos,max_pos_group,dfidf
459b,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
45j1,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
45ths,1,2.6097947161574217e-07,0,1,NNS,NN,7.592457037268081
46,90,2.3488152445416797e-05,0,1,CD,CD,93.14626815033724
4601992,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
461,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
461a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
461b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
462,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
463,6,1.5658768296944531e-06,0,1,CD,CD,18.022483609640773
464,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
467,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
46a,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
46a10,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
47,89,2.3227172973801054e-05,0,1,CD,CD,96.90961246449075
470,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
471,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
471a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
472,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
473,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
474,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
476ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
478b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
478ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
47a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
47a3,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
47½,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
48,154,4.0190838628824296e-05,0,1,CD,CD,102.33960532920639
481,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
481c,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
482,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
482ft,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
484,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
485,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
486,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
487,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
488,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
48a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
49,83,2.16612961441066e-05,0,1,CD,CD,94.52717734222827
4901984,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
490ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
491,4,1.0439178864629687e-06,0,1,CD,CD,18.022483609640773
492,5,1.304897358078711e-06,0,1,CD,CD,22.369828149072323
492012,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
492e,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
493,5,1.304897358078711e-06,0,1,CD,CD,7.592457037268081
494,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
494b,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
4951,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
497ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
498ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
49a,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
49b,4,1.0439178864629687e-06,0,1,CD,CD,7.592457037268081
49bis,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
4a,30,7.829384148472265e-06,0,1,CD,CD,42.70528942380718
4a5,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
4ai,4,1.0439178864629687e-06,0,1,CD,CD,7.592457037268081
4aii,5,1.304897358078711e-06,0,1,CD,CD,7.592457037268081
4aiii,4,1.0439178864629687e-06,0,1,CD,CD,7.592457037268081
4aiv,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
4b,24,6.2635073187778125e-06,0,1,CD,CD,48.08993443856309
4c,13,3.3927331310046482e-06,0,1,CD,CD,39.80278832243191
4d,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
4d1a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
4e,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
4f,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
4i,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
4ii,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
4j,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
4maori,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
4or,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
4th,19,4.958609960699101e-06,0,1,CD,CD,48.08993443856309
4w,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
4year,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5,1416,0.00036954693180789094,0,1,CD,CD,64.84436284523595
50,178,4.645434594760211e-05,0,1,CD,CD,102.05579957557569
500,75,1.9573460371180665e-05,0,1,CD,CD,57.47931259628929
500ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
501,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
501990,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
501a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
502010,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
503,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5041994,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
506,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5061994,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5066,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
506ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
507,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
507a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
509ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
50a,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
50b,5,1.304897358078711e-06,0,1,CD,CD,13.184914074536161
50c,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
50d,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
50th,1,2.6097947161574217e-07,0,1,JJ,JJ,7.592457037268081
51,115,3.0012639235810352e-05,0,1,CD,CD,96.90961246449075
510,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
512,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
512012,17,4.436651017467617e-06,0,1,CD,CD,7.592457037268081
513,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
513ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
514,3,7.829384148472266e-07,0,1,CD,CD,18.022483609640773
514ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
515,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
516,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
5170,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
51a,7,1.8268563013101953e-06,0,1,CD,CD,22.369828149072323
51a1a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
51a2,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
51b,6,1.5658768296944531e-06,0,1,CD,CD,13.184914074536161
51c,23,6.00252784716207e-06,0,1,CD,CD,18.022483609640773
51c1,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
51d,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
51d1,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
51d3,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
51e,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
51st,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
52,65,1.6963665655023242e-05,0,1,CD,CD,93.85311841975447
521,4,1.0439178864629687e-06,0,1,CD,CD,22.369828149072323
521ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
522,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
522ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
524,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
525,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
525ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
526,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
526a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
526ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
52a,13,3.3927331310046482e-06,0,1,CD,CD,26.35264471190359
52a3,3,7.829384148472266e-07,0,1,CD,CD,7.592457037268081
52a4b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
52a7,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
52b,6,1.5658768296944531e-06,0,1,CD,CD,13.184914074536161
52c,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
52cf17,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
52e,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
52g,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
52h,3,7.829384148472266e-07,0,1,CD,CD,7.592457037268081
53,80,2.0878357729259374e-05,0,1,CD,CD,89.09212190533081
531,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
532,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
533,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
533ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
537,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
539,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
53a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
54,93,2.4271090860264023e-05,0,1,CD,CD,93.85311841975447
542,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
542a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
542ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
544,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
55,87,2.270521403056957e-05,0,1,CD,CD,89.09212190533081
550,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
551,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
551998,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
551b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
552,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
553,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
554,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
555,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
556,4,1.0439178864629687e-06,0,1,CD,CD,7.592457037268081
55b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
55o,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
56,93,2.4271090860264023e-05,0,1,CD,CD,95.77980472275082
561,3,7.829384148472266e-07,0,1,CD,CD,18.022483609640773
561999,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
561c,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
562,3,7.829384148472266e-07,0,1,CD,CD,18.022483609640773
562ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
563,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
564,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
565,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
568,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
56a,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
56b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
56c,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
56d,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
56g,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
56p,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
56r,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
56s,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
57,87,2.270521403056957e-05,0,1,CD,CD,92.40586380855143
5708,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5709,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
571,3,7.829384148472266e-07,0,1,CD,CD,18.022483609640773
5711,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5712,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
571572parts,1,2.6097947161574217e-07,0,1,NNS,NN,7.592457037268081
572,15,3.914692074236132e-06,0,1,CD,CD,22.369828149072323
572010,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5723,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5727,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
573a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
573any,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
574,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5745,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
574any,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
575,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
577,3,7.829384148472266e-07,0,1,CD,CD,18.022483609640773
578,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
579regional,1,2.6097947161574217e-07,0,1,JJ,JJ,7.592457037268081
57a,4,1.0439178864629687e-06,0,1,CD,CD,18.022483609640773
58,68,1.774660406987047e-05,0,1,CD,CD,89.09212190533081
580,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
580ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
580including,1,2.6097947161574217e-07,0,1,VBG,VB,7.592457037268081
581,4,1.0439178864629687e-06,0,1,CD,CD,7.592457037268081
5810,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
582a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
582ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
583,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
584,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
585,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
586,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
586by,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
587,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
587ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
589ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
58a,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
58a2,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
58b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
58b2,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
58bis,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
58c,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
58d,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
58e,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
58f,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
59,67,1.7485624598254725e-05,0,1,CD,CD,93.85311841975447
590ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
591,10,2.609794716157422e-06,0,1,CD,CD,7.592457037268081
591ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
592,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
592013,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
592e,5,1.304897358078711e-06,0,1,CD,CD,7.592457037268081
593,11,2.870774187773164e-06,0,1,CD,CD,13.184914074536161
594,10,2.609794716157422e-06,0,1,CD,CD,13.184914074536161
595,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
596,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
5962007,3,7.829384148472266e-07,0,1,CD,CD,7.592457037268081
596cattle,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5982,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
599by,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
59a,6,1.5658768296944531e-06,0,1,CD,CD,7.592457037268081
59b,3,7.829384148472266e-07,0,1,CD,CD,7.592457037268081
5a,25,6.524486790393554e-06,0,1,CD,CD,39.80278832243191
5aii,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
5b,10,2.609794716157422e-06,0,1,CD,CD,33.49571480647333
5bi,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5biii,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5c,6,1.5658768296944531e-06,0,1,CD,CD,22.369828149072323
5c1,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5c2,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5e,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
5election,1,2.6097947161574217e-07,0,1,NN,NN,7.592457037268081
5th,14,3.6537126026203907e-06,0,1,NNS,NN,48.08993443856309
5w,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
5whole,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5zaa,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5zc,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
5ᵒ,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
6,1026,0.00026776493787775146,0,1,CD,CD,79.94293142724739
60,203,5.297883273799566e-05,0,1,CD,CD,101.04566129145591
600,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
600and,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
601,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
602,4,1.0439178864629687e-06,0,1,CD,CD,18.022483609640773
602011,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
603,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
605,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
606,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
606ft,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
607,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
607ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
609ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
609in,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
60c,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
61,68,1.774660406987047e-05,0,1,CD,CD,84.08607629101769
610ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
611,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
611ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
612,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
613b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
614,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
618or,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
61979,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
61a,3,7.829384148472266e-07,0,1,CD,CD,18.022483609640773
62,69,1.8007583541486212e-05,0,1,CD,CD,95.16917373570911
621,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
622,4,1.0439178864629687e-06,0,1,CD,CD,7.592457037268081
623,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
624,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
625in,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
626,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
628ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
62b,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
63,73,1.9051501427949178e-05,0,1,CD,CD,93.14626815033724
631,5,1.304897358078711e-06,0,1,CD,CD,22.369828149072323
631ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
632,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
632cv,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
632d,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
632f,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
634,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
634ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
635,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
636,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
636the,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
6372,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
63a,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
63e,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
63ter,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
64,60,1.565876829694453e-05,0,1,CD,CD,86.21109071130898
640,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
641,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
641997,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
641ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
642,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
643,3,7.829384148472266e-07,0,1,CD,CD,7.592457037268081
644b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
645,3,7.829384148472266e-07,0,1,CD,CD,7.592457037268081
64a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
65,104,2.7141865048037186e-05,0,1,CD,CD,99.22875489564903
650,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
650including,1,2.6097947161574217e-07,0,1,VBG,VB,7.592457037268081
651,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
651c,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
652,4,1.0439178864629687e-06,0,1,CD,CD,13.184914074536161
652012,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
654,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
654the,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
655,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
658declared,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
658ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
6591996,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
65a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
66,78,2.035639878602789e-05,0,1,CD,CD,92.40586380855143
660entries,1,2.6097947161574217e-07,0,1,NNS,NN,7.592457037268081
661,6,1.5658768296944531e-06,0,1,CD,CD,22.369828149072323
661a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
662,6,1.5658768296944531e-06,0,1,CD,CD,22.369828149072323
662ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
663,4,1.0439178864629687e-06,0,1,CD,CD,18.022483609640773
664,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
665,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
665ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
66a,8,2.0878357729259374e-06,0,1,CD,CD,22.369828149072323
66a1a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
66a1e,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
66b,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
66c,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
66d,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
67,94,2.4532070331879763e-05,0,1,CD,CD,81.78608253331737
670declared,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
671,4,1.0439178864629687e-06,0,1,CD,CD,22.369828149072323
671990,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
671c,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
672,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
672g,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
673,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
674,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
675,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
676,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
676ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
677,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
6771,21,5.480568903930586e-06,0,1,CD,CD,7.592457037268081
67a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
68,58,1.5136809353713046e-05,0,1,CD,CD,85.1698026646032
682,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
682000,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
684,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
6841988,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
685ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
686,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
687,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
689,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
68a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
69,75,1.9573460371180665e-05,0,1,CD,CD,93.14626815033724
690,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
691,4,1.0439178864629687e-06,0,1,CD,CD,22.369828149072323
692,3,7.829384148472266e-07,0,1,CD,CD,18.022483609640773
693,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
694,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
694ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
695,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
695b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
695ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
698,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
699,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
69a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
69a1,3,7.829384148472266e-07,0,1,CD,CD,7.592457037268081
69a7,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
69b,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
69c,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
69d,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
69d1b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
6a,14,3.6537126026203907e-06,0,1,CD,CD,26.35264471190359
6aa,6,1.5658768296944531e-06,0,1,CD,CD,13.184914074536161
6aa1,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
6b,6,1.5658768296944531e-06,0,1,CD,CD,26.35264471190359
6c,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
6d,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
6e,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
